Technology,Number of Hires
Adobe Experience Manager,1954
Business Analytics / Project Management,1878
Business Intelligence,1934
Client Success,1927
Data Engineer,1951
Database Administration,1933
Design,1906
Development - Backend,1965
Development - CMS Backend,1882
Development - CMS Frontend,1934
Development - Frontend,1887
Development - FullStack,1961
DevOps,3808
Game Development,3818
Mulesoft,1973
QA Automation,1892
QA Manual,1902
Sales,1890
Salesforce,1874
Security,1936
Security Compliance,1852
Social Media Community Management,2028
System Administration,2014
Technical Writing,1901
